country,year,estimate,hi,lo
CAF,2012,0.06,0.05,0.07
CAF,2013,0.04,0.03,0.04
CAF,2014,0.03,0.09,0.11
CAF,2015,0.07,0.12,0.16
CAF,2016,0.1,0.21,0.27
CAF,2017,0.17,0.23,0.29
CAN,2009,NA,NA,NA
CAN,2010,NA,NA,NA
CAN,2011,NA,NA,NA
CAN,2012,NA,NA,NA
CAN,2013,NA,NA,NA
CAN,2014,NA,NA,NA
CAN,2015,NA,NA,NA
CAN,2016,NA,NA,NA
CAN,2017,NA,NA,NA
CHE,2009,NA,NA,NA
CHE,2010,NA,NA,NA
CHE,2011,NA,NA,NA
CHE,2012,NA,NA,NA
CHE,2013,NA,NA,NA
CHE,2014,NA,NA,NA
CHE,2015,NA,NA,NA
CHE,2016,NA,NA,NA
CHE,2017,NA,NA,NA
CHL,2009,NA,NA,NA
CHL,2010,NA,NA,NA
CHL,2011,NA,0.64,0.72
CHL,2012,0.56,0.56,0.64
CHL,2013,0.5,0.67,0.77
CHL,2014,0.59,0.77,0.87
CHL,2015,0.67,0.92,0.95
CHL,2016,0.79,0.7,0.79
CHL,2017,0.62,0.85,0.95
CHN,2009,NA,NA,NA
CHN,2010,NA,NA,NA
CHN,2011,NA,NA,NA
CHN,2012,NA,NA,NA
CHN,2013,NA,NA,NA
CHN,2014,NA,NA,NA
CHN,2015,NA,NA,NA
CHN,2016,NA,NA,NA
CHN,2017,NA,NA,NA
CIV,2009,NA,NA,NA
CIV,2010,NA,0.22,0.34
CIV,2011,0.15,0.03,0.05
CIV,2012,0.02,0.19,0.3
CIV,2013,0.13,0.12,0.19
CIV,2014,0.08,0.33,0.51
CIV,2015,0.22,0.28,0.43
CIV,2016,0.19,0.39,0.61
CIV,2017,0.27,0.4,0.62
CMR,2009,NA,0.27,0.36
CMR,2010,0.23,0.2,0.26
CMR,2011,0.16,0.25,0.35
CMR,2012,0.21,0.3,0.42
CMR,2013,0.26,0.32,0.43
CMR,2014,0.26,0.36,0.49
CMR,2015,0.3,0.33,0.44
CMR,2016,0.27,0.53,0.71
CMR,2017,0.44,0.51,0.66
COD,2009,NA,NA,NA
COD,2010,NA,0.03,0.04
COD,2011,0.02,0.05,0.07
COD,2012,0.04,0.07,0.1
COD,2013,0.05,0.1,0.13
COD,2014,0.07,0.14,0.2
COD,2015,0.11,0.16,0.22
COD,2016,0.13,0.2,0.28
COD,2017,0.16,0.34,0.46
COG,2009,NA,0.08,0.12
COG,2010,0.06,0.07,0.1
COG,2011,0.05,0.03,0.05
COG,2012,0.03,0.05,0.08
COG,2013,0.04,0.04,0.06
COG,2014,0.03,0,0
COG,2015,0,0.01,0.02
COG,2016,0.01,0.02,0.03
COG,2017,0.02,0.03,0.05
COK,2009,NA,NA,NA
COK,2010,NA,NA,NA
COK,2011,NA,NA,NA
COK,2012,NA,NA,NA
COK,2013,NA,NA,NA
COK,2014,NA,NA,NA
COK,2015,NA,NA,NA
COK,2016,NA,NA,NA
COK,2017,NA,NA,NA
COL,2009,NA,0.05,0.06
COL,2010,0.04,0.1,0.12
COL,2011,0.08,0.18,0.22
COL,2012,0.15,0.22,0.26
COL,2013,0.18,0.3,0.36
COL,2014,0.25,0.37,0.44
COL,2015,0.31,0.45,0.52
COL,2016,0.38,0.44,0.52
COL,2017,0.37,0.48,0.59
COM,2009,NA,NA,NA
COM,2010,NA,NA,NA
COM,2011,NA,NA,NA
COM,2012,NA,NA,NA
COM,2013,NA,NA,NA
COM,2014,NA,NA,NA
COM,2015,NA,NA,NA
COM,2016,NA,NA,NA
COM,2017,NA,NA,NA
CPV,2009,NA,0.95,0.95
CPV,2010,0.85,0.95,0.95
CPV,2011,0.87,0.95,0.95
CPV,2012,0.95,0.76,0.95
CPV,2013,0.63,0.85,0.95
CPV,2014,0.69,0.94,0.95
CPV,2015,0.76,0.7,0.95
CPV,2016,0.58,0.94,0.95
CPV,2017,0.76,0.93,0.95
CRI,2009,NA,0.92,0.95
CRI,2010,0.81,0.69,0.78
CRI,2011,0.61,0.66,0.76
CRI,2012,0.58,0.89,0.95
CRI,2013,0.81,0.66,0.75
CRI,2014,0.58,0.78,0.89
CRI,2015,0.7,0.79,0.91
CRI,2016,0.71,0.64,0.74
CRI,2017,0.58,0.71,0.81
CUB,2009,NA,0.83,0.95
CUB,2010,0.75,0.95,0.95
CUB,2011,0.85,0.95,0.95
CUB,2012,0.95,0.95,0.95
CUB,2013,0.95,0.95,0.95
CUB,2014,0.95,0.92,0.95
CUB,2015,0.83,0.95,0.95
CUB,2016,0.95,0.95,0.95
CUB,2017,0.95,0.95,0.95
CYP,2009,NA,NA,NA
CYP,2010,NA,NA,NA
CYP,2011,NA,NA,NA
CYP,2012,NA,NA,NA
CYP,2013,NA,NA,NA
CYP,2014,NA,NA,NA
CYP,2015,NA,NA,NA
CYP,2016,NA,NA,NA
CYP,2017,NA,NA,NA
CZE,2009,NA,NA,NA
CZE,2010,NA,NA,NA
CZE,2011,NA,NA,NA
CZE,2012,NA,NA,NA
CZE,2013,NA,NA,NA
CZE,2014,NA,NA,NA
CZE,2015,NA,NA,NA
CZE,2016,NA,NA,NA
CZE,2017,NA,NA,NA
DEU,2009,NA,NA,NA
DEU,2010,NA,NA,NA
DEU,2011,NA,NA,NA
DEU,2012,NA,NA,NA
DEU,2013,NA,NA,NA
DEU,2014,NA,NA,NA
DEU,2015,NA,NA,NA
DEU,2016,NA,NA,NA
DEU,2017,NA,NA,NA
DJI,2009,NA,NA,NA
DJI,2010,NA,NA,NA
DJI,2011,NA,0.02,0.02
DJI,2012,0.01,0.08,0.11
DJI,2013,0.05,0.08,0.11
DJI,2014,0.06,0.02,0.02
DJI,2015,0.01,0.08,0.11
DJI,2016,0.06,0.1,0.14
DJI,2017,0.08,0.1,0.15
DMA,2009,NA,NA,NA
DMA,2010,NA,NA,NA
DMA,2011,NA,NA,NA
DMA,2012,NA,NA,NA
DMA,2013,NA,NA,NA
DMA,2014,NA,NA,NA
DMA,2015,NA,NA,NA
DMA,2016,NA,NA,NA
DMA,2017,NA,NA,NA
DNK,2009,NA,NA,NA
DNK,2010,NA,NA,NA
DNK,2011,NA,NA,NA
DNK,2012,NA,NA,NA
DNK,2013,NA,NA,NA
DNK,2014,NA,NA,NA
DNK,2015,NA,NA,NA
DNK,2016,NA,NA,NA
